text,target,stance,Sentiment,Sarcasm
@politeabood @whrumor ??? ???? ?????? ?????? ???????? ?????? ?? ????? ?????? ????? ?? ???? ?????? ???????? ???? ????????? ???? ?? ?????? ????? ??? ?????? ??????? ???? ???? ????? ?? ????? ???? ???? ??? ???,Women empowerment,Favor,Positive,No
@Prenezlapiste ??? ????? ?????? ??,Women empowerment,Favor,Positive,No
@PrimeMinistry ?????? ??? ??? ???? ?? ?????? ???? ????? ????? ???? ???? ?????,Women empowerment,Favor,Positive,No
@Prof_Alenad ????? ?????? ??? ??? ?????? ??? ??? ??????? ??? ??? ??????? ???? ? ?? ??????? ?????? ?? ???? ???? ?????,Women empowerment,Favor,Positive,No
@Prof_Alenad ????? ?????? ??????? ??? ?????? ???? ??? ?? ???? ?????? ?? ??????? ??????? ??? ??????? ?????? ?? ?? ?? ???? ??????,Women empowerment,Favor,Positive,No
@q8ramadan77 ?? ?????   ????? ????? ??????   ??? ?? ??? ?? ????? ??????? ?????? ????? ?????? ??? ???? ??????? ???? ????? ?  ?? ??? ?????? ???? ????? ?????,Covid Vaccine,None,Neutral,No
@Q_Fadala @BoFahadAlkhater ??? ????  ???? ???? ????? ??? ?? ????? ????? ??????,Covid Vaccine,None,Neutral,No
@Q_Fadala ??????? ?? ????? ??????,Covid Vaccine,None,Neutral,No
@Q_Fadala ??? ????? ???????? ?? ????? ? ?????? ?????? ??????? ?? ?????? ?? ???????? ????? ????? ???? ... ????? ??? ???? ???? ?????? ????? ???? ???,Covid Vaccine,Against,Neutral,No
@Q_Fadala ??? ????? ????? ?????? ???? ???? ???? ?????? ?? ??? ???? ???? ?????,Covid Vaccine,Against,Negative,No
@qais911q ??????? ??????? ???? ???? ???????? ?????? ?????????? ?? ????? ????????? ??????? ????????? ?? ??????? ??????? ???????? .,Digital Transformation,Favor,Neutral,No
@qais911q ?? ?????? ?????????? ??????? ?? ??????? ??????? ??? ?? ????????? ????? ??????? ??????????? ?? ???? ????? ???   ?????? ??? ??? ????? ????? ?? ???? ???? ??????? ????? ??? ???? ????? ????????,Digital Transformation,Favor,Positive,No
@qarar9adm_ @saudiatv @REDFspeaker ???? ????? ?? ????? ??????,Women empowerment,Against,Negative,No
@qatarairwaysar ??? ???? ????? ?????? .. ???? ????? ?? ????? ????,Covid Vaccine,Against,Neutral,No
@qatari656565 @hrw_ar ???????? ??? ????? ?? ???? ????? ?????? ??? ????? ?????? ???????? ?????..?????? ????? ?????? ??????? ???? ????? ?? ?????? ????? ????? ??? ??? ???? ?? ????? ???? ????? ??? ?????? ???????? ?????? ???? ???? ??????? ?????? ?? ??????? ???,Women empowerment,Favor,Positive,No
@QatarLawyers ????? ??? ????? ?? ?????? ?????????? ???????? ?? ??????? ???????   ???? ??? ??? ????? ??????? ???????   ??? ????? ?? ?????? ???? ?? ??????? !,Digital Transformation,None,Neutral,No
@Qatify12 ???? ???? ?????? ??????? ????? ??????? ??????????? ?????? ?????? ??? ?? ?? ???? ????? ??? ?????? ?????????? ?,Digital Transformation,Favor,Positive,No
@QiyadatGGU ?? ????? ? ??????? ??????? ???? ? ????? ??????,Women empowerment,Favor,Positive,No
@qqwwqqmmqqnn @Labeebhubb @I_9mile ????? ??? ???? ??? ??? ??? ?????? ????? ?????? ?? ?? ?? ??? ?? ????? ??????? ?????? ??? ???? ???? ???? ????? ????? ???? ?? ??? ????? ?????? ?? ???? ???,Women empowerment,Favor,Negative,No
@QTF_444 ??? ???? ????? ????? ?????? ??? ?? ????? ?? ??? ????? ????????,Women empowerment,Against,Negative,No
@Quite5rr @ydrr_a @st2010ar @SaudiNews50 ????? ????? ?????? ??????? ??? ??????? ??? ?? ???? ???? ?? ?????? ????? ??????? ???????? ???? ??? ?? ???????,Women empowerment,None,Negative,No
@qweras4d ??????????? ??????? +????????? ??????? ????? ????? ?????? ???????? ?????? ??? ?????+???? ???? ????????? ??????? ??????? ??? ??????? ????????  ????? ?????? ???? ???? ??????  ???? ??? ??? ???? ???? ?? ???? ?????? ???????? ?? ???? ???? ???? ???????,Women empowerment,Favor,Negative,No
@r25vt ??? ??? ??????? ????? ??????? ?! ???? ????? ?? ?? ?????!!..??????? ???? ????? ?????? ?????.. ???? ????? ?? ?????? ?????? ??? ?????? ?? ?????? ?????? ?????? ?? ????? ?? ?????? ???? ??? ?????? ?????? ???? ???? ???? ???? ?????!..????? ???? ????? ???,Covid Vaccine,Favor,Negative,No
@R2359R ????? ??????..?????? ??????? ..?????? ????? ?????..,Women empowerment,Favor,Neutral,Yes
@R_ilox @_nasr97 ????? ?????? ????,Women empowerment,None,Neutral,No
@rajab650 @RoyalOmanPolice @Oman_GC @RopTraffic @PACDAOman ???? ??????? ??? ???? ????? ????????? ????????? ???? ????? ?????? .. ????? ????????? ????? ?????? ??? ????? ??????? ???? ?? ?????? ?????? ?? ?????? ?????????? ????? ??????? ??????? ?? ?? ???? ???,Digital Transformation,Favor,Positive,No
@Rana_AlFares ??? ????? ???????? ??????? ???????? ????? ?????? ?????? ???? ??????? #?????_???????_?????? #???_??????_???????  #InternationalWomensDay  ??? ??? ????? ????? ??? ???? ?? ?????? ?? ??????? ???????? ??,Women empowerment,Favor,Positive,No
@RaniaKeiy ???? ???? ???? ?? ???????  ??? ??? ????? ??????? ????? ???? ???? ????? ?? ????? ?????? ??????? ??? ????? ?????? ???????!!! ?????? ?????? ???????? ?????????? ??????? ????? ????? ??? ???? ?? ???? ????? ???? ????  ?? ???? ???? ?? ????,Digital Transformation,Against,Negative,No
@Ranour5 @_lktyi_ @x92j_ ?? ???? ???? ????????? ????? ?????? ?? ????? ?????? ?? ??? ?? ???? ???? ????? ???? ?? ???? ????? ??? ???? ?? ??? ?? ??? ???? ????? ????? ???? ???? ??????? ???? ???? ???? ????? ???? ?????? ???? ??????? ?????? ?????,Women empowerment,Against,Negative,No
@Rasha_Ashraaf ?????? ??? ?????? ?????? ???? ?? ???????? ???? ???? ?? ??????? ?? ?????? ???? ??? ????? ?? ???? ???? ???? ?? ???? ??? ????? ??????? ???????? (????? ?????? -&gt; ????? ??? -&gt;?????? ?????). ???? ?????? ?? ???????? ????? ?????? ?????? ?? ??,Digital Transformation,Favor,Positive,No
@RashaJarhum ?????? ??????.. ???? ???? ????? ????? ???? ???? ???? ???? ????? ????? ??????,Women empowerment,Against,Negative,No
@rashidalmansoo1 ??????? ? ????????? ????? ??    ??? ?? ??? ???? ??????? ????? ? .. ????? ???? ????? ?????? ????? ??? ??? ????? ????? ?????? ? ???????? ???? ?? ????? "????",Women empowerment,Against,Negative,No
@Rayoomi4 ???? ?????  ???? ???? ??????? ???? ??????? ??? ?????? ?????? ????? ????? ????? ??? ?????? ???? ???????,Covid Vaccine,Favor,Neutral,No
@RcZr9 @KSAsoon1 ??? ??? ????? ??????? ?????? ?? ???? ??????  ??????? ???? ????? ?? ???? ?? ??? ??? ???????. ?? ??????? ?? ?? ??????. ????? ???????? ?? ??? ???? ??? ??? ????? ???? ?? ???? ????? ?????? ???????. ????????? ?????? - ????? ???? - ????? ?? #???,Women empowerment,Favor,Neutral,No
@reemalamar @Moo_Vid ?? ???? ???? ?????? ?? ???? .. ?? ??? ??? ??? ????? ???? ?????  ???? ?? ????? ????? ???? ?? ????? ??? ???? ?? ????? ?????? ???? ??????,Women empowerment,Against,Negative,No
@Reemalnuaimi22 ??????? ???? ?? ??? ??????? ???? ?? ?????? ?????? ????????? ???? ??? ?? ??? ?????? ???? ???? ?????? ??? ????? ??????? ???? ??? ??????? ??? ???????? ??? ????? ??????? ?????? ?????? ??? ???? ?? ????? ?????? ????????,Digital Transformation,Against,Negative,Yes
@Reham_Shahin ???? ??? ?????? ???? ????? ????? ???? ??? ??? ????? ???????? ????? ?? ?????? ??? ????? ??? ?????? ?????? ?? ??????? ??? ????? ??,Covid Vaccine,None,Positive,Yes
@RevoluttionQ8 ???? ??? ?????? ??? ?????? ????? ???????? ?????? ??? ???? ????? ?????? ??? ??????? ????? ???? (?????),Women empowerment,Against,Negative,No
@RimaRabah ??? ???? ????? ???????? ??????? ???????? ????  ????? ?????? ?? ???? ???????????? ???? ?? ????? ??????? ??????? ???? ???? ?????? ???? ?? ??????? ???? ??? ??????? ????????? ?????? ????????? ????? ?? ?????? ????????? ????? ??? ??? ?????? ?????????,Women empowerment,Favor,Positive,No
@riyadh_edu ?????? ?????? ????? ?? ???? ??? ?????????!  ???? ???? ???? ???????? ??? ??????? ????? URL,Digital Transformation,Against,Negative,No
@riyadiyatv ??? ?? ????? ?????? ??????? .. ??? ?????? ??????? ?????????,Women empowerment,Against,Negative,No
@RKatphd211 @alshehrimahdi ????? ?????? ?? ????? ?????? ????? ?????? ??????? ??????? ??????????? ?? ????? ??????,Women empowerment,Against,Negative,No
@roosealshehri88 ?? ??? ???? ?????? ???? ?? ?????? ?????????? ? ???? 2030,Digital Transformation,Favor,Positive,No
@RoyalOmanPolice ?? ??? ???? ?????  ??? ???? ???????? ???? ????? ?? ?????? ?????????? ??,Digital Transformation,Favor,Positive,No
@Royaloudk @dwratti @FadiSowan ????? ?? ? ??? ???? ?? ??????? ?? ???????? ??? ??????? ???? ???? ?? ?????? ???????,Digital Transformation,Favor,Positive,No
@runplzz ??? ???????? ??? ???? ?????? ???? ??? ???? ??? ??????? ??? ??? ??? ???? ?? ??? ??? ????? ?????? ???? ????? ?? ??????? ?????? ??????? ?? ??????,Covid Vaccine,None,Neutral,No
@Rv_102 ??????? ?? ??????? ?????? ?????? ???? ?????? ?? ???????? ? ?? ???? ??? ????????? ?? ???? ????? ???? ??? ???? ?? ???????? ? ?????? ??????? ?? ??????? ? ?? ????? ? ?? ???????? ??????? ? ??? ????? ?????? ????? !  ??? ???? ???? ??? ??????? ? ???? ????,Women empowerment,Favor,Negative,No
@s0ma_3 ??????? ??? ????? ?????? ???? ????? ???? ?? ?????? ?? ?? ????? ???? ??????? ??? ??? ?????? ???????..???? ??? ????? ?????? ?????? ???? ?? ????? ? ??? ????? ???? ?????? ???? ?????? ???? ???? ??? ????? ?????? ??? ????? ???? ????? ??? ... ???? ???? ??,Covid Vaccine,Favor,Neutral,No
@s0ma_3 ????????? ???? ?????? ??? ?????? ?????? ?????? ??? ?????? ??? ?????? ??? ???? ??? ?????? ??? ?????...?? ???? ????? ???? ??????? ?????????? ???????? ??????? ????? ?????? ??? ??????? ?????????? ???? ???????? ????? ?? ??????????...???.. ???? ?????? ?,Covid Vaccine,Favor,Neutral,No
@s1sjnu7p0PWCYwb @SaudiNews50 ????? ????? ???? ?????? ??? ????,Women empowerment,Against,Negative,No
@s3d6996 @3zeef2 @KSAsoon1 ???? ??? ???? ???????  ????? ?????? ??? ???? ??? ??? ????? ???? ????? ???? ??????? ???? ??????? ???? ???? ?????? ??? ??? ???? ??????? ????? ??????? ?????? ???? ????? ????? ? ??? ???? ????? ????? ????? ??? ????? ????? ?? ???,Women empowerment,Favor,Positive,No
@s_almusbih ???? ???? ??? ?? ????? .. ???? ????? ??????...,Women empowerment,Against,Negative,No
@s_mukhaini @WailHarrasi ?????? ?? ????? ??? ??? ??? ?????? ?????? ??? ???? ?? ????? ?? ???? ????? ..?????? ???? ?????? ???????? ??? ?????? ??????? ??? ?????? ??????? ???? ???? ?? ????? ??? ?????? ????? ???? ???? ?? ???? ??????? ?????? ???? ??????? ??? ??,Covid Vaccine,Favor,Neutral,No
@S_S_S_99_S_S_S ????? .. ????? ?????? ?? ???? ????? ?? .. ????? ????? ???????? ???? ??? ? .. ?? ????? ?????? ????? ?? .. 24 ???? ??????? ? .. ??????? ????? ??????? ????? ..,Women empowerment,Favor,Positive,No
@S_shubaili @M_Shobaily ????????? ?????? ??????? ???? ?????? ??? ?? ????? ?????? ?,Covid Vaccine,Against,Neutral,Yes
@s_wksa @MCgovSA ????? ?????? ???????? ??????? ?? ?????? ???????? ???? ???? ??? ???? ?? ??? ?????? ???? ???? ????? ?? ???? ??????? ??????? ??? ???? ???? ???? ??????? ???????? ???? ??? ???? ??????.,Women empowerment,Favor,Positive,No
@sa_scin @AssalaLamaa ??? ???? ????? ???????? ????  ??? ???? ????? ?????? ????. ????? ???????? ???! ?,Covid Vaccine,Favor,Neutral,No
@saaddousari @aleissaahmed @moe_gov_sa ?? ???? ..!!  ?? ?????? ??? ???????? ????? ?? ?? ???? ???? ????? ????? ???? ???? ???? ???????? ?? #??????_??????  ?? ??????? ?? ?? ?? ????? ?????? ??????? ????? ?????? ???? ??? ???? ?? 50 ???? ??? ??????? ?????? ?? ?,Digital Transformation,Against,Negative,Yes
@sabahcomsbc @SBC_Channel ??? ??? ?????? ?????? ??????? ?????? ??????????  ??? ???? ????? ????????? ????? ?? ????? ?? ????? ??? ??????. ???? ????? ???? ??????? ?????????? ?? ?????? ?????? ???? ?????? ???? ???????? ??? ??? ??? ??????? ?????? ??? ??????.,Digital Transformation,Favor,Negative,No
@sabqorg @Lands_sa ??????? ??????? ??? ???? ????? ??? ???? ?????? ?????????? ?? ?????? ???? ??????? ??? ???? ????? ?? ??????? ? ???? ??? ?????? ???? ????,Digital Transformation,Favor,Positive,No
@sabqorg ???? ?? ?????? ?????????? ????????? ???????? ? ??????? ??? ???????? ???? ?????? ?????? ??? ???? ???? ???,Digital Transformation,Favor,Negative,No
@sabqorg ????? ?????? ????,Women empowerment,Against,Negative,No
@sabqorg ?? ???? ?????? ????? ????? ?? ?????? ????? ?? ????? ????? ????? ??????.. ??? ???? ? ??? ????? ? ???? ???? ?????? ??????? ?????? ..,Covid Vaccine,Against,Negative,No
@Saco_KSA ???? ?? ????? ?????? ????? ?? ?? ?????? ?????? ???? ?? ????? ????? ???? ???? ?????? ??? ???? ????!,Digital Transformation,Favor,Positive,No
@SADAD @HashKSA ??? ????? ?????? ?????????? ?????? ??? ??? ???? ??? ??????? ? ????? ???????... ?? ???? ???? ???? ?????...,Digital Transformation,Against,Negative,No
@SaeedAlNaji ?????? ????? ?? ???? ?????? ? ?? ?? ?????? ??????? ??? ??? ?????? ?????????? ?????? ??? ???? ??? ??????. ??? ?? ????? ????? ???? ??????? ?? ?????? ????? ?? ??????? ??????? ?????? ??????? ??? ??????? ????? ??? ???? ?????. ??? ????? ??????? ???,Digital Transformation,Favor,Positive,No
@SafarAyad ???????? ??? ??????   ????? ?????? ????????? ???????? ???? ???? ???? ?????? ?????? ???? ???? ????? ????? ????? ??????? (scalability) ?? ???? ??????? B2B   ????? ??? ??????? ???????? ???? ???? ?? ???? ?????? ?????? ????? ???   ????? ??????? ????,Digital Transformation,None,Neutral,No
@sahaab_7 @amr_haidar ?? ?? ???????? ???????? ?? ????? ????? ?????????? ?????????? ???? ?????? ????? ??????? ?????? ?? ????? ?????? ?????? ?????? ??????? ????????.  ?? ??? ?????? ?????? ????? ?????? ???????  ?? ?????? ??? ?? ???? ???????? ???? ????? ???.,Women empowerment,Favor,Positive,No
@SaidAlSinani6 ???? ?????..  ???????? ?? ???? ???? ?????? ?? ???.  ???? ???????? ?? ????? ????? ?? ????? ??????  ?????? ???? ????? 1970 ??? ?????? ??????? ?? ??? ?????? ??? ??? ???????? ??? ????? ?????? ??? ????? ??? ?????.,Women empowerment,Against,Neutral,No
@saiif_n @caajoman ???? ?????   ???? ?????? ?????????? ????? ?????? ??? ??????? ???????? ??? ???? ?? ?????. ???? ???? ?? ??? ???? ??????? ????? ??? ????? ?? ?? ??????? ??? ??????   ????? ?????? ??? ???? . ???? ????? ???? ?? ????? ?????? ??????? ????? ?? !,Digital Transformation,Against,Negative,No
@SAIPKSA @kafiau @SAIPspokesman @BadrFAlSaud ?? ?????? ?????? ???? ????? ???????  ????? ????? ??? ?????? ??????????,Digital Transformation,None,Positive,No
@sala_seoul @AJELNEWS24 ?????? ???? ?????? ?? ???? ??????? ?? ??????? ????? ???? ??? ????? ???? ???? ???? ??? ????? ??????? ????? ???? ????? ???? ???????? ????? ????? ?????? ????? ??????? ???????? ?? ?????? ?? ????? ?? ????? ???? ????????? ??? ??? ????? ?,Women empowerment,None,Negative,No
@saleehatwii ?? ????? ???? ???? ????? #???_?????_??????_????_??_?????  #?????_??????  #???_???_???,Women empowerment,Favor,Positive,No
@Saleh4hb ??? ?? #?????_?????? ???? ?????? ???????.. ?? ???????? ?? ???? ???? ????? ???? ????? ??????.. ???????? ???? ?? ???? ?????? ???? ?? ??????? ?????????  ?????? ????? ??? ????? ?????????? ?? ????? ????? ??? ???? ???? ???????? ??? ????? ???? ?????.,Women empowerment,Favor,Positive,No
@saleh_q884 ???? ?? ????? ??? ????? ?? ??????? ??????????   ??? ???? ??? ????????? ?? ??? ??????? ???????  ?? ??????? ?????? ????  ????? ?????? ???????? ?????? ?? ?? ????????,Digital Transformation,Favor,Positive,No
@salem90144 @RoyalOmanPolice ?? ??? ???? ?? ?????? ?????? ?????? ?????? ?????? ?????????? ?????? ????????? ??,Digital Transformation,Favor,Neutral,No
@salem678008055 ??????? ?? ?? ????? ????? ?????? ???? ????? ??,Covid Vaccine,None,Neutral,No
@Salemation ??? ??? ??? ??? ?????  ????? ??? ?? ??????? ??????? ??? ???? ??????  ?????? ??? ???? ???? ????? 70 % ?????? ?????? ??? ??????? .. ?????? ???? ???? ???? ???? ??????? ???????? ???????? ??????? ??? ?? ???? ????? ??????   ?????? ??? ???? #??_?????,Covid Vaccine,Against,Negative,No
@SalimShibli271 @hilal96999 @RoyalOmanPolice @almufarji @masalyahyaei ??? ???? ???? ?????? ????? ???????. ??? ?????? ??????????. ????? ???. ??????? ?????. ????? ?? ???? ?? ???? ????? ???????.,Digital Transformation,Favor,Negative,No
@salkaabitv ???? ?????? ?????????? ?????? ??? ??,Digital Transformation,None,Neutral,No
@SalmaAd86347766 ?? ??? ??? ?????? ???? ???? ??? ??? ?? ???? ???? ? ???? ????? ?????,Covid Vaccine,Against,Neutral,No
@SalmanAlbaiz @asuwayed ??????   ?? ?????? ?????? ????? ??? ?????... ?? ??? ???? ????.????? ?? ????????? ????? ????????? ???? ??? ???  ????? ???? ????? ?????? ????? ??? ???????? ???? ?????? (????? ??????)  ???? ????? ???? ???? ???? ????? ???? ???? ?? ????,Digital Transformation,Against,Negative,No
@salmrdrd @khalid_oun ?? ????? ???? ?????? ?????? ??? "???????? ???? ?????????????" ?????? ????? ?????? ????? ?????? ???? ???? ????? ?? ???? ?? "????? ??????" ??? ??????? ???? ?????? ??? ?? ???? ?? ?????? ???????? ?????? ?????? ?? ?? ???? ???? ????? ?????,Women empowerment,Against,Negative,No
@salrashed ????? ??? ???? ????  No mask No lockdown  No vaccine   ????? ?? ??????? ???????? ? ?? ????? ??????? ??????? ??????? ? ????? ?????? ??????..,Covid Vaccine,Against,Neutral,No
@salrashed   ????? ?? ?????? ??? ??? ????? ??? ????? ???? ??????? ??????? ???????? ???? ?????? .  ??? ????? ?????? ? ??? ????? ????? ?? ??????? ? URL,Covid Vaccine,Against,Negative,No
@salrashed ??? ????? ??? ????  ? ?????? ???? ???? ?????? ?????? ?????? ????? ???? ????? ????,Covid Vaccine,Against,Negative,No
@sam5000001 @AlMalWeb ????? ??? ????? ?? ??????? ??????? ?? ???? ???? ?????? ?????? ???? ?????? ?? ?? ????? ???????? ...??? ????? ?????? ?? ..??? ???? ????? ?????? ??? ?? ??????? ???????? ???? ???? ???? ??? ???? ????,Digital Transformation,Favor,Positive,No
@SAMA_GOV @SAMAcares ????? ????? ????? ?????? ??????? ??????? ?????? ?? ?? ?????? ?? ????????? ?????? ?????? ??? ????? ???? ?????? ?????? ?? ?????? ?????? ????? 2030 ?? ????? ??????? ?? ????? ?????????? ?? ?????? ????? ?????????.. ???? ??? ??? ??? ???? ??,Digital Transformation,Favor,Positive,No
@sara_lj0 @KSA24 ?? ????? ?????? ???? ???? ?????? ?? ??????? ????? ??????? ??,Women empowerment,Favor,Neutral,No
@Saree7ah1 ???? ??????? ?????? ?? ????? ??? ?????? ???????... ????? ?????? ???? ?? ???? ?? ????? ???? ? ?? ???? ????? ?? ??????? ??? ??????  ???? ????? ???? ???????,Covid Vaccine,Against,Negative,No
@SASCA_MED ?? ?????? ??????? ?????? ?????? ???????? ???? ?? ????? ???? ???? ??? ???????? ???????? ?? ??? ??? ???????? ???????? ??????????????????????? ??????? ??????? ??? ?? ???? ????? ?????? ???????????? ???????? ?????? ?? ?????? ???? ????? ??? ?? ??????,Digital Transformation,Favor,Neutral,No
@sattam_al_saud ????? ??? ??? ???? ????? ?????? ????? ??????? ?? ???????? ????? ?????? ???? ???? ???? ?? ???? ????? ?? ?????? ?? ?????? ?????? ?????? ?? ?????? ?? ????????? ????????? ?????? ?????? ????? ????? ????? ??? ????? ????? ?? ?? ????? ??? ????? ??,Covid Vaccine,Favor,Positive,No
@saudfozan1 ??????? ??? ????? ?? ??? ?????? ! ??????? ????? ????? ? ??? ???? ???? ????? ?????? .. ??????? ?????? ? ?????? ? ??????? ??????? .. ???? ????? ?? ?????? ???? ?? ????????,Women empowerment,Favor,Positive,No
@Saudi_TGA @SalehAlJasser ????? ?? ???? ?? ??? ??? ??? ?? ?? ??????? ??? ???? ??? ????? ?? ??? ?????? ?????? ?????? ??? ???? ?? ?????? ?????? ???????  ?????? ????? ???? ??? ????? ???? ? ???? ?? ??? ??????,Digital Transformation,Against,Negative,No
@saudiatv @REDFspeaker ??????? ??????? ????? ??????   ???? ???? ??????? ????????? ????? ??????   ??? ???? ????? ????? ??????   ???????? ???????? ???????? ??? ????   ???? ??????   ?? ???? ?? ?????? ???? ??????? ????? ?????? ????????? ?????? ???????   ?????,Women empowerment,Favor,Neutral,No
@saudibogrv ?????? ???? ??????   ???? ???? ????? ????? ???? ?? ?????? ??????? ???????? ?? ?? ?????? ?????????? ???? ???? ????? ?????? ?????? ????? ?????? ??????? ??????? ??? ??? ??? ??????? ??????? .,Digital Transformation,Favor,Positive,No
@SaudiCustoms ?? ?????? ?????????? ?????? ?????? ????? ????? ??? ?????? ?????????? ?????? ???? ????????? ?????? ??? ???? ?????? ??? ?????? ?????? ????? ?????? ???? ?????? ???????? ???? ?? ??? ?? ??????? ?? ?????? ??? ?????? ??? ?????? ?????????? ?????? ??,Digital Transformation,Favor,Positive,No
@SaudiDecisions ?????? ??????? ????? ?????? ??? ?????? ????? ??? ?????? ??? ?????? ?????? ?? ????????  ??????? ??? ???? ?????? ??? ??? ??? ??? ????????? ???????? ???? ?????,Digital Transformation,Favor,Positive,No
@SaudiDRPY ????? ?????? ???????? ?????? ??? ??? ??? ??? ???? ???????? ??????? ???? ?? ???? ????????? ???????,Women empowerment,Favor,Positive,No
@SaudiHousing ?????? ?? ?????? ? ?????? ?????????? ??? ???? ?? ?? ??? ?? ????? ??? ???? ???????,Digital Transformation,Favor,Positive,No
@SaudiHousing ????? ????? ??? ?????? ????? ?? ???? ??????? ?  ????? ????? ????????? ??? ???? ????????  ?????? ?????? ?????????? ???? ?? ????????? ??????? ??? ???????,Digital Transformation,Favor,Neutral,No
@SaudiHousing ?????? ????? ???? ????? ?? ??????? ??? ?????? ??????? ???? ???? ?????? ????? ?? ??? ????? ?? ???? ??????? ??????? ?????? ?????? ????????? ?????? ?? ?? ?????????? ???? ???? ?? ????,Digital Transformation,Favor,Neutral,No
@SaudiHousingCC @majedhogail  ???? ???? ?? ????? ?????? ???????? ???? ????? ?????? ???? ??????? ??? ?? ??? ??? ?????? ??????? ??? ???? ?????? ????? ??? ?? ??? ?????? ?????? ???????? ?? ??????? ???? ?????? ??? ????? ??????? ????? ??? ???? ????? ?????? ?? ?,Digital Transformation,Favor,Neutral,No
@SaudiMOH #?????_?????? ????? ???? ??? ????? ?????????? ???? ??????? ?????? ??????? ?????? ???? ??? ????? ??????? ???? ????? ????? ??? ??? ????? ??????? "?????? ??????" ????? ??????? ??? ??? ?????? ?????????????,Covid Vaccine,Favor,Positive,No
@SaudiMOH #?????_?????? ?? ??? ??????? ????? ??? ??? ??? ???? ????? ???? ????????: ???? ?????? ??????? ????????? ??? ????? ????? ?????????? ????????. ????? ????? ?????.??,Covid Vaccine,Favor,Positive,No
@SaudiMOH ????? ??? ???? ??? ???? ????? ??? ??????? ??? ?? ?? ??? ??? ????? ???? ??? ????.,Covid Vaccine,Favor,Neutral,No
@SaudiMOH ???? ???????? ??? ????? ???? ??????  ??? ??? ??????? ?????????? ???? ?????? ??????? ???? ???,Covid Vaccine,Favor,Positive,No
@SaudiMOH   ???? ?? ????? ??? ?????   ???? ? ?????? ??????? ??????? ???????? ??? ????? ?  ???? 10 ????? ????? ????? ??? ??? ??????? ????????  ?????? ????? ?????? ????? ??? ?????? ???????? ??????? ?????? ???????? ?? ??? ?????? ..???? @drmohka @tfrabi,Covid Vaccine,Favor,Positive,No
@SaudiMOH ????? ??????? ??? ?? ??? ??? ??? ????? ?????? ??????. ???? ???? ????? ????? ????? ???? ?????? ??????? ?? ????? ??????? ???? ???? ?????? ??? ???? ?????? ?????? ??????? ????? ??????? ?? ?????? ?? ?? ???? ??? ??????? ????? ?????? ????.,Covid Vaccine,Against,Neutral,No
@SaudiMOH ????? ?????? ???? ??? ??????? ?????? ?????? ???? ?? ????? ??????. ??????? ???? ?? ???? ????? ????? ????? ?????? ????? ???? ?????? ????? ?????. ???? ????? ?? ????...,Covid Vaccine,Against,Negative,No
@SaudiMOH ??? ?????? ??? ????? ????? ??? ???? ??? ??? ??? ?????? ?? 50 ??? ????? ??? 100 ??? ??? ???? ????? ???? ????? :??? ???? ???? ????????,Covid Vaccine,Against,Negative,Yes
@saudimomra @e_Balady ???? ??????? ??????? ???????? ?????? ?????????? ??????? .. ???????? ?????? ???? ??? ??????? ??? ??? ???? ????? ?? ????????? ??? ????? .. ????? ??????? ??? ???? ????? ??????,Digital Transformation,Against,Positive,No
@saudimomra ?? ???? ???? ???? ?????? ???? ??? ??? ??? ????? ????? ??? ?????? ???? ????? ??? ?? ??? ??? ??? ??????? ??? ???????  ??? ?? ??? ??????? ??? ??????? ???? ????? ??? ???? ?????? ??????,Digital Transformation,Favor,Positive,No
@SaudiNews50 #?????_?????? ??? ??? ???? ???? ????? ?????? ?? ????? ??? ????? ????????? ??? ?? ??? ????????? #???????? ?? ????? ???????? ???????? ???????. #??????_???????? ????? ??? ????? ???????? ???? ?????? ????  @hindkz @Ahmed_S_Alrajhi,Women empowerment,Favor,Positive,No
@SaudiNews50 ???? ?????? ? ??? ???? ???? ???? ?????? ? ?? ??????? ??? ????? ??????,Women empowerment,Favor,Negative,No
@SaudiNews50 ??? ??? ????? ?????? ???? ???????? ?? ????? ????????  ???????? ?????? ??? ?? ?????? ???? ?????? ??? ????? ??? ??? ????? ?????? ??????? ?????? ?????? ???????? ??? ???? ???????  ??????? ????? ????? ??????? ?? ???????? ????? ?????? ??? ???? ????,Women empowerment,Against,Negative,No
@SaudiNews50 ???? ?? ????? ?????? ????. ?????? ?????? ?????? ????? ?????? ???? ???????: ?????  ???????????? ???? ?????? . ???? ????? ???? ?? ???? ??? ??? ???? ??? ??? ?????.,Women empowerment,Favor,Neutral,No
@SaudiNews50 ????? ????? ?????? ????? ???? ???? ?? ????? ???? ????? ????? ??????,Women empowerment,Against,Negative,No
@SaudiNews50 ???? ????? ?? ????? ?????? ?? ??? ????? ???? ??????   ??? ?? ?????? ???,Covid Vaccine,Against,Negative,No
@SaudiNews50 ?????? ?????????? ??????? ?? ????????? ?? ???? ????? ????? ??,Digital Transformation,Against,Negative,No
@SaudiNews50 ?????? ?????????? ????? ?? ??????? ?????????? ??? ???????? ????? ??? ??? ???? ???? ?????? ??? ???????? . ??? ???? ??????? ??? ???????? ????? ?????? ???? ??????? ???????? ???? ????? ???? ????? ???? ????? ?? ??? ??? ?? ??? ?? ??? ????? ????   ?,Digital Transformation,Favor,Positive,No
