Text,Target,Stance,Sentiment,Sarcasm
@AsharqiaChamber جهود مباركة و موفقة مع معقل المرأة السعودية جامعة الأميرة نورة بنت عبدالرحمن .. معا لتحقيق تمكين المرأة في ظل رؤية المملكة ٢٠٣٠,Women empowerment,Favor,Positive,No
@ashwauq عشان يخلون العالم يطعمون وياخذون من وراهم فلوس من الصحه العالمية شلون تصير البوقة من وزارة الصحة العالمية وانتي ماعندج لا وفيات وولا ناس مرضى من كورونا وسالفة التطعيم ما تطعيم كلها بس عشان ياخذون من وراها فلوس ف لا اكثر,Covid Vaccine,Against,Negative,No
@asinawi @alomani89 في جهة عملي التحول الرقمي اسهم في مضاعفة عدد الاوراق المطبوعة ب ٤ اضعاف مع ان الهدف كان التقليل من الاستخدام الرقمي   بالنسبة للبنوك فرسالتها للتحول لانظمة الدفع الاكتروني قابلتها برسوم تثقل كاهل صاحب المؤسسة ورفضه لاستخدام هذه الخدمات,Digital Transformation,Against,Negative,No
"@ask_alshargiy *التحول الالكتروني التام لجميع المعاملات المتعلقة بالعقار "" كهرباء .. ماء .. رهن .. بيع ..شراء ""  *حفظ الصك وسهولة الرجوع له في أي وقت  *تيسير البيع والشراء من أي مكان مثلا "" تستطيع البيع من الرياض لعقار في الشرقية ""  وغيرها من فوائد ولابد",Digital Transformation,Favor,Positive,No
@Ask_madinah1 محسسني ان الDNA حقك مرصع بالألماس و الياقوت، تراه لقاح تطعيم زي تطعيمات الاطفال له آلية معينه هدفها حماية الجسم بعد الله، خذ ما تيسر و استعن بالله,Covid Vaccine,Favor,Neutral,No
@Ask_Makkah_ روح حلل محد يم تطعيم كورونا شف الحرم البارح مليونين بدون شرط تحصين😅,Covid Vaccine,None,Neutral,Yes
@AsrarHayat @Beardist @KuwaitiCM اليوم راجعت احد مراكز الخدمة واكتشفت التحول الالكتروني اللي ذبحونا فيه كله حبر على ورق. اي اجراء صغير مختلف لازم اراجع بنفسي.,Digital Transformation,Against,Negative,No
@asrarr___ الوقت الان اختلف، معظم المراهقات ومن هم اقل من ٢٥ سنة تجدينهم مع الفكر المتخلف هذا، ويجب ان يكون هناك من يضع لهم حد ويعلمهم مقدارهم وما لهم وما عليهم قبل ان يطغوا، خصوصاً الان في وقت تمكين المرأة وقدرتها على العمل ومنافستها للرجال بسوق العمل (و,Women empowerment,Favor,Neutral,No
@ASSEEH_NEWS اللــــه يبشرك بالخير ؛ سعادة وفرحة غمرت قلوبنا بهذا الإنجاز التقني لـ #جامعة_الأمير_سطام  بتحققها المركز الـ 23 من أصل 371 جهة حكومية بـ #السعودية_العظمى وذلك لمساهمتها في التحول الإلكتروني؛ فللــــه الحمد والشكر .,Digital Transformation,Favor,Positive,No
@atayyh نعيد ونكرر التحول الإلكتروني راح يوفر ملايين لخزينه الدوله,Digital Transformation,Favor,Positive,No
@Atheer_Oman @mtcitoman للأسف موضوع التحول الالكتروني ما زال بطيء جدا في بعض الجهات التي ما زالت خدماتها تقليدية   لذا نرجوا من الوزارة حث المؤسسات بالاستعجال في تحولها الالكتروني,Digital Transformation,Favor,Neutral,No
@Attaa_SA ما أجمل التحول الرقمي الإلكتروني الذي يخدم الأفراد وخاصة في البنوك مثل الإطلاق الإلكتروني لأصدار بطاقة الصراف الآلي  والعديد من الخدمات الالكترونية التي سهلت وذللت كل الصعاب .....ميزة فريدة في التحول الرقمي  دمت فخرا يا وطني بين الأوطان URL,Digital Transformation,Favor,Positive,No
@Atw384 @Gonzali87902007 @saad_alojan تمكين المرأه من الوظايف وجعلها تستحوذ على قدر كبير من المال هو يسير لصالح رؤوس الاموال والدول المصدره فبعد دراسات طويله اكتشفوا ان المرأه المستهلك رقم واحد في كل بلد فإذا ارادت الدول الصناعيه ترويج بضاعتها عليها بدعم,Women empowerment,Against,Positive,No
@autism_rahaf كفوو رهف والله يحق لك الفخر عزيزتي فما وصلتِ له عظيييم جداً ماشاء الله تبارك الله ، تمكين المرأة ضرورة في أي مجتمع متحضر ومتطور ، نثق ونفتخر بكِ رهف تحدثي وانطلقي وأخبري العالم أن المرأة تستطيع 💪🏻 موفقة يا بطلة ❤,Women empowerment,Favor,Positive,No
@averti11 اعتقد الكثير ممن يزرون المولات في الوقت الراهن ليس لغرض الشراء بالأخص التي تتوفر فيها دور سينما وأماكن الترفيه. الكثير من سيارات التوصيل نراها في شوارع الرياض بشكل كثيف. أعتقد أنها مؤشرات مهمه في التحول للشراء الإلكتروني اذا تم معالجه بعض المشاك,Digital Transformation,Favor,Neutral,No
@Avian_TH وين تمكين المرأة؟,Women empowerment,None,Negative,No
@AwadZidan89 @enasmahfouz1 امشي مراكز تطعيم عندنا وشوف اقبال ناس وخود معاك فيديو وثق ومش هكي وبس  لم تسجل اي حاله مضاعفات باب شخص اخد لقاح. في ليبيا .. وكلام هذا عاري عن صحه ومش مزبوط صفحه غير صحيحه خلو ناس تاخد لقاح ياويلكم من ربي في بث كلام مزيف,Covid Vaccine,Favor,Neutral,No
@AwamlehRaed @IdeasInnocrea الجانب الرقمي سيكون هو اطار التحول فقط وليس جوهر التحول لان التحول المستقبلي سيشمل كافة المهام والانشطة والاساليب والاجراءات. فالمستقبل سيشهد ثورة شاملة وتغييرات جذرية ضمن اطار رقمي فالجانب الرقمي هو اطار التحول وليس التحول ذات,Digital Transformation,Favor,Positive,No
@AwamlehRaed ربما اقتصار تركيز المؤسسات على الجانب الرقمي فقط لا يساعد في #التحول_الرقمي الناجح فثورة الاعمال المقبلة ستكون شاملة وتطال مختلف القطاعات فالحاجة ستكون لتطوير الانشطة والمهارات المعروفة لكن ضمن اطار رقمي. فالرقمي سيكون الاطار العام للتحول ولي,Digital Transformation,Favor,Positive,No
@AwamlehRaed لانجاز عملية التحول الرقمي الشامل يجب تناول الجانب الرقمي كاطار للتحول وليس جوهر التحول وذلك من اجل ان يشمل التحول الهياكل والسياسات الانشطة والمهام والمهارات التقليدية ولكن ضمن الاطار الرقمي,Digital Transformation,Favor,Positive,No
@awashaa83 @hbahroh وراح تقل الوظائف !! بس التحول الالكتروني والتكامل بين الانظمه تساعدك على جمع البيانات Data وتسهل عليك انجاز وتطوير الخدمات,Digital Transformation,Favor,Positive,No
@AwwadSAlawwad حيل فخورة بكل الاشياء اللي وصلت لها المرأة السعودية و الأكيد ان رؤية المملكة و هدفها تمكين المرأة بدينا نشوفه يتحقق على ارض الواقع 💞💞👏,Women empowerment,Favor,Positive,No
@AwwadSAlawwad رؤية المملكة لها أهداف كثيرة من أهمها تمكين المرأة   و هذا الهدف تحقق على ارض الواقع و نشوف الان المرأة السعودية وصلت لأعلى المناصب,Women empowerment,Favor,Positive,No
@aymanaabdo @SchsOrg يعطيكم العافية على التحول الإلكتروني لكن حيصيرلي شهر وأنا أحاول أخلص الأمور,Digital Transformation,Favor,Neutral,No
@AymanHsafadi تقدمت لتجديد جواز السغر لاحد افراد العائلة في السفارة الاردنية بدولة قطر وخلال اقل من ثلاث ايام تم تجديده بفضل التحول من الطلبات والكتب الورقيه للتقديم الالكتروني ..اضافة الى تعامل كادر السفارة المميز @joembassyqatar,Digital Transformation,Favor,Positive,No
@az0zy7 @CaptMiw @faisal_rakan_ @HRSD_SA @Ahmed_S_Alrajhi عبيد الحكومة بيقولون وااااو تحول رقمي يعز الحكوووومه بس هذا التحول الرقمي الي مزعجينا فيه,Digital Transformation,Against,Negative,No
@AZAYER_ @wknrabcopsv5vv7 @azayerthobe @_alattas_ الوطن هو الامان والطمأنينة الوطن هو الحياه والامل الله يحفظ المملكه حكومة وشعبا ويديم نعمة الامن والامان  الإنجازات  تمكين المرأة السعودية في مختلف المجالات  تطور الاقتصاد أدارت المملكة أزمة كورونا بحنكة,Women empowerment,Favor,Positive,No
@Aziz7amad @sLoM506 @ahmed_840 @Yaa_nfc ضيف مميز 🤍اسأل سليمان عن تمكين المرأة لعبته هالمواضيع..,Women empowerment,None,Positive,No
@aziz6202 هذا ضريبة الانفتاح وقانون تمكين المرآة !,Women empowerment,Against,Negative,No
@AZK_SA وهل تمت دراسة آثار تطعيم كورونا كما تمت دراسة آثار تطعيم الحصبة!!! بل بالعكس  تطعيم الحصبة يساعد على عدم اصابتك بالمرض بمشيئة الله لكن تطعيمة الكورونا لا تمنع.   شخصيا انا محصن لكن لا انتقد من يمنع نفسه واهله من اخذها.,Covid Vaccine,Against,Negative,No
@AzzaAlsaqri @OmaniMOH كلام غير صحيح  اختي العزيزه اللقاح للكل مع العلم تم تطعيم فئات المجتمع بلقاح فايزر وايضا الكادر الطبي وايضا لقاح استرازينيكا سوف يتم تلقيح فئات المجتمع وبقيه العاملين الصحيين,Covid Vaccine,Favor,Neutral,No
@B2kAbdou التحول الرقمي هو تحوّل ثقافي في الاساس أما الجانب التقني فهو الأسهل,Digital Transformation,Favor,Positive,No
@B_C_4 تم اخذا القاح الاولي والثانيه الحمدلله لم يحصل ليه اي شي ولا اعراض مع انني خالطت كم شخص مصاب بكورونا بفضل الله ثم اخذا  تطعيم لقاح كورونا لم تنتقل لي العدوى  انصح لمن لم يتطعم اخذا اللقاح في اسرع وقت,Covid Vaccine,Favor,Positive,No
@BaderAlnadabi @oman_mtc @AzzaIsmaili سبب التأخير في ذلك هي عقلية المسؤول ؛ لو كان المسؤول داعمًا للتحول الإلكتروني بيصير التحول سريعا وتتغير جميع المفاهيم,Digital Transformation,Favor,Positive,No
@BaderAlnadabi @oman_mtc @AzzaIsmaili هنالك بعض الجهات بدأت في التحول الالكتروني  ولكن بعضها لا تزال تتعامل بالنظام الورقي حبذا لو يكون هنالك نظام متكامل مرتبط مع اللوائح لكي يقلل الوقت والجهد. على أن ترتبط جميع الوحدات بنظام متكامل,Digital Transformation,Favor,Positive,No
@badr_mohsen_ تمثل النساء والفتيات نصف الشعب  السعودية  وبالتالي نصف إمكانياته ..  فقد ثبت أن تمكين المرأة يحفز الإنتاجية والنمو الاقتصادي ....,Women empowerment,Favor,Positive,No
@badr_mohsen_ والنعم فيها بنت بلادي... #تمكين_المرأة صدم المشككين في قدرات البنات على العمل في أعمال احتكرها الرجال منذ عقود. 👍🏻👍🏻👍🏻 #رؤية_السعودية_2030,Women empowerment,Favor,Positive,No
@Badria_AlShihi @fawaz_ameer الحل برأيي هو عمل مقابلات واختبارات للديناصورات الموجودة في المناصب العليا في مجال التحول الإلكتروني ومن يرسب يتم استبداله بكفاءات تفهم  وعقليتها جيدة   وإلا فالبيروقراطية وتعطيل المعاملات سيستمران وهذا يتنافى مع #رؤية_عمان_20,Digital Transformation,Favor,Positive,No
@Baha_Mach تطعيم كورونا ، راضيه بأيييي نوع آخده بس أبغى أتطعم 😭💔,Covid Vaccine,Favor,Neutral,No
@BahkaliEng كما أصبح التحول إلى التعليم الإلكتروني مطلبآ ضروريآ ليساهم ويساعد في تنمية وتطوير مخرجات التعليم وسرعة وسهولة إيصال المعلومات والأنشطة والأهداف التعليمية,Digital Transformation,Favor,Positive,No
@BankAlbilad الأعزاء في بنك البلاد  عندما تنتهي صلاحية بطاقة الصراف  لماذا لا ترسلون البطاقه الجديده الى العنوان الوطني بدون اجبار العميل للقدوم الى الفرع؟ طبعا اذا كان الفرع رقمي فأحييكم على سياسة التحول التقني 😂,Digital Transformation,None,Neutral,No
@BankAlbilad كل خدماتهم راجع الفرع . وين التحول الالكتروني . اقسم بالله ندمت اشد الندم وان شاء الله جاري الانتقال الى بنك عدل مثل الانماء والله خدماتهم تفتح النفس,Digital Transformation,Against,Negative,No
@banking_issues التوجه الي التحول الالكتروني راح يؤثر على الوظايف في القطاع الحكومي و الخاص,Digital Transformation,Against,Negative,No
@bankmuscatcare موفقين ان شاء الله لدعم نهضة التحول الالكتروني  و #عُمان_نهضة_متجددة,Digital Transformation,Favor,Positive,No
@Barjasbh اسباب كثيرة تمنعهم من التحول التقني في الانتخابات من ضمنها الخوف من الإختراق الأمني وايضا وجود الكثير من الأمريكان من كبار السن وذوي الاحتياجات الخاصة لا يستطيعون استخدام التقنية.,Digital Transformation,Against,Neutral,No
@Barjasbh طريقة بدائية … اعتقد لا تتوافق مع النظام و مع التحول الالكتروني الحاصل. هذا هو الحل الامثل. 👇 URL,Digital Transformation,Favor,Negative,No
@Barwais سألني دكتور عن علاقة التكنولوجيا بعلم الإجتماع فتغير الجواب إلى وجهة نظر للمستقبل  وكنت أتكلم عن التحول الإلكتروني بإستثناء التعليم أن يستمر على الأقل بتقديم الدورات عن بعد  الدكتور ما رد على كلامي وقال لي قفل المايك 😅 ما ادري بس يمكن سؤاله كان,Digital Transformation,Favor,Neutral,No
@basher40x111 @Sabditti @Majedabdullah22 @RivalKsa هذا انتم يابتوع تمكين المراة ترمي اتهامات ونتحاش,Women empowerment,Against,Negative,No
@Basim1000000 @aa_u14 @football_1l5 قال تمكين المرأه ما قال دعارة المرأه حدد توجهك وين انت رايح !!!,Women empowerment,Against,Negative,No
@BayhasSawady خليها تتواصل مع الزملاء في شركه التحول التقني  URL  باذن الله تجد الدعم المطلوب  مع التاكيد على صحه كلامك في اهميه الاهتمام بالادوات المساعده   خصوصا مع توفر الخيارات المقبولة ماديا,Digital Transformation,Favor,Positive,No
@Baynounahtv كل الدراسات والكلام ذا مقدمه على شان يحطون تطعيم الأطفال ضد كورونا إجباري  معروفه خطتهم بس والله يبطون عظم ما اعطي أطفالي لقاح كورونا,Covid Vaccine,Against,Negative,No
@bdwy69fahm @gorgeous4ew مو مشكله تمكين المراه في كل المجالات وليس مجالات دون مجالات هي مطالبه بالمساواه وتحققت.,Women empowerment,Favor,Positive,No
@behappybelife زمن تمكين المرأه صارو فولاذ لم يعودو قوارير الله يخلف على الرجال,Women empowerment,Favor,Negative,Yes
@belal_abdeen_ الناس اللي بتحكي اللقاح مؤامرة ورح يموتو لو اخدوه ، يعني خايفين يموتو من اللقاح ومس هايفين يموتو من الفايروس!، بعد لقاح زي اي تطعيم كنا ناخده واحنا صغار ضد الامراض ، الله يهديهم اللي بفكرو غلط,Covid Vaccine,Favor,Positive,Yes
@bent_Aljanoobb @mbs_vv والله شيء مؤلم نساء كبيرات بالسن ويجعلونهم تابعات لولي الأمر أين تمكين المرأة؟ نحن في زمن الملك سلمان الذي كفل حقوق المرأة وصانها ولكن يبدو ان بعض المسؤولين في الضمان الاجتماعي لا يواكبون العصر ولا رؤية ملكنا حفظه الله 🙏 #الغاء_اس,Women empowerment,Favor,Negative,No
@Bentaljanahi_1 @Hanan_AlHashash وين الدليل انه راح يصير شي على عيالنا واحفادنا ؟ انا شخصيا جربت الكورونا ودخلت المستشفي عشر ايام تقريبا وتحت الاوكسجين ومعاناة ما وراها معاناه اقسم بالله اول مره يمر على هالشي وحاليا مستعد لو اخذ مليون تطعيم بس ما عيد تجرب,Covid Vaccine,Favor,Positive,No
@Bin9arm11h والله يتمكن من المراة مو تمكين,Women empowerment,Against,Negative,No
@BinAyyafFaisal يامعالي الأمين...لازالت المخاطبات التي تتم بين #أمانة_الرياض وبلدياتها الفرعية مخاطبات ورقيه  تستغرق الكثير من الوقت ذهاباً وعوده..فمتى يتم التحول الألكتروني الموفر للوقت والجهد والمال..؟!,Digital Transformation,Favor,Positive,No
@bip_ksa الله يخارجنا منها حنا يادوب متخارجين مع الكبتاجون جابو شيء ماله علاج اعتقد انه مادخل للبلاد الا مع الانفتاح السريع ويبدو انهم ماحسبو حساب المخدرات والمسكرات الله يعافينا  وين دور الاعلام ووزارة الرياضة والتعليم  اذا صارت مقابله مع مسئول ماهو حافظ,Women empowerment,None,Neutral,No
@bip_ksa للأسف الشائعات أضرت بكثير من المواطنين بالوقت الحالي .. لتأثرهم بالرسائل التي تتطرق الى تطعيم كورونا وأنه مضر .. بينما قد يتسبب في وفاة شخص مسن أو لديه مشكلة صحية لعدم أخذه التطعيم .. متأثراً بالشائعات التي ليس لها مصدر حقيقي !!,Covid Vaccine,Favor,Neutral,No
@birr1shw @stc_ksa @TechSoupMENA @Microsoft العفو  سعداء بتمكين جمعيتكم رقميًا ونتمنى لكم مزيدًا من التطوير والنجاح  أطيب التحايا من التحول التقني 💜,Digital Transformation,Favor,Positive,No
@BishaClub @drablehsh @drShaltout @sherifelatrbi2 ٤/ نحتاج بناء الجزء التقني والبنية التحتية  ٥/ نحتاج خطة نبني فيها التحول إلى التعلم الإلكتروني  نحتاج نظام تعلم إلكتروني وطني ✨,Digital Transformation,Favor,Positive,No
@bixwd ياراجل حاليا الوظايف كلها للبنات وساحبين ع العيال يقولك تمكين المرأه والمشكله على حساب العيال اي واحد يوظف بنت ياخذ نقاط اكثر بالسعوده وياخذ دعم اكبر غير انها ماتشتغل بالليل ويشيلو الشفتات العيال واشياء كثير وهنا يصايحون,Women empowerment,Against,Negative,No
@BlushiRahma نقطة مهمة فعلا! توفر اللقاح ونسبة تطعيم السكان ستكون لها العلامة الفارقة في عالم ما بعد #كورونا والتعافي الاقتصادي   الدول التي استثمرت كثيرا في اللقاح ستجني ذلك سريعا وستكون الأكثر انفتاحا على العالم والأكثر جاذبية للإستثمار والسياحة.. @Oman,Covid Vaccine,Favor,Neutral,No
@bmec_kw لأن الواقع الاداري سيء فكيف راح يكون الاونلاين جيد؟! 🤔  الواقع يعكس التحول الإلكتروني,Digital Transformation,Against,Negative,No
@bmec_kw مهندس مشكلة بعض مواقع الدولة ماخذه جوائز في التحول الإلكتروني وهي تأخير في معاملات فقط بهرجه اعلام وتصوير,Digital Transformation,Against,Negative,No
@bmja22 @RoyalOmanPolice دائما كما عهدناها سباقة في التحول التقني الذي يخدم الوطن والمواطن ويعزز من السلم الاجتماعي.  URL,Digital Transformation,Favor,Positive,No
@BMW111222333 اتمنى النظر في المادة 77 والاخطر منها التسارع في التحول الرقمي بدون دراسة تبعات . اتمنى ان لايكون هناك تحول رقمي الا بعد دراسة اثاره الاجتماعية والوظيفية الخ    التقنية جميلة لكن ان تقتل وظائف الناس لرفع ارباح وتوفير مصروفات على حساب الالاف,Digital Transformation,Favor,Positive,No
@bndrex2 ارتفاع الإصابة في معدل طبيعي . فالفيروس كائن حي . يتكاثر و ينقص . المهم زيادة اقبال المواطنين و المقيميين على اخذ جرعات تطعيم كورونا . كوفيد_19 .,Covid Vaccine,Favor,Neutral,No
@BoArhama الي مايبي ياخذ تطعيم لايقعد يخوف ناس ويثير رعب عندهم كم واحد تردد ياخذ لقاح من اشاعات يعني اكيد دوله ماراح تخسر عمرها الا عشان صحتنا وتخاف علينا من متى بلادنا تضرنا ولازم يتابعون اهل اشاعات,Covid Vaccine,Favor,Neutral,No
@BoFahadAlkhater انا سمعت عن أوبئة وتطعيمات بس اول مرة اشوف تطعيم دعايته قويه مثل كورونا,Covid Vaccine,Against,Negative,No
@bogaili لا تستعجل ! إصبر يكملون تطعيم كورونا والله غير تشوفهم ضباع تمشي على ثنتين,Covid Vaccine,Against,Negative,No
@book190 في رأيي الاهم هو التحول الى التعليم عن بعد ..يأتي بعده التسوق الالكتروني .. ومن ثم ممارسة الرياضة (هايكنج/دراجات/تمارين في المنزل/..),Digital Transformation,Favor,Neutral,No
@boooaly تطعيم انفلونزا مناعة مؤقته تطعيم كورونا مناعة مؤقته  تفيد مرضى القلب الربو كبار السن تفيد للجميع  ان شاء الله,Covid Vaccine,Favor,Positive,No
@bynoona70 مثل ما قلتي  تاخذون تطعيم الانفلونزا الموسميه... و إذا لقطي شي  بتكون زكمه خفيفه و تروح (مناعة) اعتقد تكون معاملة تطعيم كورونا بنفس المقياس  لتفادي الاصابه و ان حدث  بتكون خفيفه ع الطاير 😁 و الله يحفظ الجميع من كل مكروه,Covid Vaccine,Favor,Positive,No
@caajoman خطوة ممتازة من المجلس ونرجوا المزيد من التقدم لانجاز خطة التحول الالكتروني لجميع محاكم السلطنة,Digital Transformation,Favor,Neutral,No
@caajoman شكرا من أعماق القلب لمجلس الشؤون الإداريه للقضاء لهذا التحول الالكتروني,Digital Transformation,Favor,Positive,No
@caajoman صرّح رئيس الإدارة العامة للتخطيط فضيلة القاضي د/يوسف الفليتي بإطلاق حزمة جديدة من برنامج #بوابة_المحامين و #بوابة_المتقاضين وإقرار دليلها الإجرائي  وذلك ضمن جهود مجلس الشؤون الادارية للقضاء لاستكمال منظومة التحول الرقمي ودعم سرعة الإنجاز وتفعيل,Digital Transformation,Favor,Neutral,No
@caajoman ما شاء الله جميل التحول الإلكتروني بالمحاكم لما فيه تسهيل وتبسيط للاجراءات والأجمل فريق الدعم الفني الذي يعمل ويسخر كل إمكانياته وجهده ووقته للرقي بهذا التحول الإلكتروني والعمل على إذابة جميع العراقيل التي يتعرض له   فبوركتم وبوركت جهودكم,Digital Transformation,Favor,Positive,No
@caajoman نبارك للاخوه والزملاء هذه الخطوه الايجابيه نحو التحول الإلكتروني والاستغناء عن الملفات الورقيه  ونبارك لفريق الدعم الفني هذا النجاح المتواصل نحو التحول الإلكتروني,Digital Transformation,Favor,Positive,No
@caajoman والقادم أجمل باذن الله...عمل دؤوب متواصل نهارا وليلا من فريق عمل ذو كوادر عمانيه أثبتت جدارتها ...وبتوجيهات ومتابعة حثيثة من قبل الإدارة العامة للتخطيط والإدارة العامة للمحاكم لإنجاز مشروع التحول الإلكتروني في وقت قياسي.....بوركت جهودكم ووفقكم ا,Digital Transformation,Favor,Positive,No
@caajoman يشهد التحول الالكتروني في المرفق القضائي نقلة نوعية وتطورًا ملموسًا  سواء بالإجراءات وتبسيطها أو إصدار الأنظمة والقرارات واللوائح وتطويرها  أو بتفعيل التقنية وتوظيفها واستثمارها  توفيراً للجهود  وتسهيلاً على المتقاضين  وسرعةً للفصل في المنازعات,Digital Transformation,Favor,Positive,No
@Cafe1940 @MisfrAwad @salrashed في سنة وحده بس ٢٠١٥ ..اربعة و ستين ألف متوفي من الانفلونزا..هذا و هو بعد العلاجات المتوفره و التطعيمات. ما حجرونا و لا اجبرونا على تطعيم. كورونا بقدرة قادر صارت جائحة و كل المتوفين اجباري يكتب في شهادة الوفاة كورونا و هم مت,Covid Vaccine,Against,Neutral,No
@cashdoom ودي اتعاطف معه الرخمه بس من قريت أنا مع تمكين المرأه غسلت يدي الضاطور لعبت في حسبته,Women empowerment,Favor,Negative,Yes
@ce1cfe3aabf6420 @ahmadtaqi74 كل اهلي و معارفي و اصدقائي ما سمعت احد منهم اشتكى من نوعية نومهم سواء طعموا فايزر او اوكسفورد! (للعلم انا ما طعمت و ضد تطعيم كورونا)!,Covid Vaccine,Against,Neutral,No
@celine_h10 أهلًا بك.. #المركز_الوطني_للتعليم_الإلكتروني تأسس بقرار من مجلس الوزراء  ليكون جهة مستقلة تهدف لتعزيز الثقة في برامج التعليم الإلكتروني  وتمكين التكامل بين مختلف الجهات  وتمكين الابتكار في التحول الرقمي في التعليم. نسعد بخدمتكم...,Digital Transformation,Favor,Positive,No
@Cg1z5ETewfYBvR7 يحرمون تطعيم الاطفال عن شلل الاطفال ويقولون هدا امر الله اذا اصابهم اصابهم!!!! بس كورونا ياخذون الدواء حقه والمضادات ذولا هم طالبان🤔,Covid Vaccine,None,Neutral,No
@CGCSaudi بسبب مصطلح تمكين المرأة صار عندي ٢ اولاد عاطلين في سن فوق ال ٣٠. ٢ بنات متوظفات.,Women empowerment,Against,Negative,No
@che_sajir شغالين لايف  التحول الالكتروني عندهم اسرع من الحكومه,Digital Transformation,Favor,Positive,No
@ChefGov_ma اتمنى منكم ان تستفيدوا من تطورهم التقني لان التحول و التطور يمشي بخطوات بطيئة جدا بالمغرب,Digital Transformation,Favor,Positive,No
@CheikhGhazouani مشاركة المراة في عملية التنمية ، أصبحت حتمية تمليها متطلبات العصر الحديث، نظرا للمقومات المتراكمة التي فرضت نفسها في مجالات عملية  البناء الوطني .لقد حققت بلادنا خطوات جبارة على طريق تمكين المراة من كسب الرهانات ، حتي تضطلع بالدور المنوط,Women empowerment,Favor,Positive,No
@chest_doctor @sh_h_algh انا مستغرب   انتم الحين مطعمين ومحصنين ضد كورونا   ليش مستذبحين لازم ناخذ التطعيم .. ؟ 🤨  يبه خلوا الناس بقناعاتهم انتم مالكم شغل فيهم   مع ان نسبة الشفاء بدون تطعيم 98 % .. ليش الاصرار منكم على اخذ اللقاح ؟ 😒,Covid Vaccine,Against,Negative,No
@choqlit @nadiasager مافي مؤامرات هو لقاح مافيه شيء تم فحصه وتم تطعيم ملايين الانفلونزا الأسبانية قبله والحصبة والكوليرا كلها اوبئة عالجها العلم وفي ناس قالوا مؤامرة جنوا على نفسهم وعيالهم .. الله شبحانه يأمر بالاخذ بالأسباب و تصديق العلم لا الجهل,Covid Vaccine,Favor,Neutral,No
@CITC_withU @mqaisoum @McitGovSa @CITC_SA @aalswaha @msTamimi الانترنت خايس وبطئ جدا جدا ولا يشجع على التحول الرقمي يابو تحول رقمي انت وياه. ان لم تستح فاصنع ماشئت. برج شركة الاتصالات صار له سنتين ولا خلص ولافيه احد يتابع يا محترمين. هيئة الاتصالات نايمه,Digital Transformation,Against,Negative,No
@co19vac شو الاثار الجانبيه  يالله فيدنا كل  خذووو حمى مثلا عادي ردت  فعل الجسم كبار خذو مو لازم له اثار  جسم عم جسم يختلف كاي لقاح خذتو عيل وانتو صغار تطعيم لو كنا بهل عقليات  للبوم العالم تموت من شلل اطفال والحصبه,Covid Vaccine,Favor,Neutral,Yes
@cont_ms اقسم الله اللي يصير يضيق الصدر.. معقولة كثير من بناتنا انسلخوا من دينهم وبعضهم ارتد؟؟  تمكين المرأة ما وراه الا الخراب والنسويات يغسلون عقول بناتنا  لازم يوقفون هذا الشيء عن حده.. ما اقول الا حسبنا الله ونعم الوكيل,Women empowerment,Against,Negative,No
@CouldYouSeeIt يسيرون العالم كما يريدون لصنع مجتمع رقمي بعيد عن الإنسانية يسهل التحكم به.. هنا دراسة لاحد توضح أهداف التحول الرقمي والتباعد الاجتماعي 👇🏽 URL,Digital Transformation,Against,Negative,No
@CyberkovCEO ع ان كثير من التقنيين بالكويت والشعب الكويتي متفاعل جدا بالمواقع بشكل عام يعني شعب مثقف تقنيا اش مشكلة التحول التقني لدى الحكومة؟؟,Digital Transformation,Favor,Positive,No
@dahics @9oo91 لان ثقافة الشراء من الانترنت جديدة وفترة كورونا  ساعدة على التحول ومع فرض  الدفع الإلكتروني صار في وعي عند الكثير والان الاغلب  حريص على الدفع  الإلكتروني,Digital Transformation,Favor,Neutral,No
@dalal20182018 صح الذي حاشته كورونا عنده مناعه ممكن الى سنه او سنتين! لكن ما في مانع ياخذ جرعة تطعيم تقوية! ومنها يستفيد من مميزات التطعيم!,Covid Vaccine,Favor,Positive,No
@dalalanbaie @gucciya234 دول توقف اللقاح ودكاتره اتحذر من اللقاح. ودول تفتح كل شي بعد تطعيم نسبه قليله جدا ودول بدون لقاح ودول ولاتدري عن كورونا اصلا مثل مصر واليمن وسوريا وغيرها واجد. وهذولا لازم يطعمونا كلنا. والله مايقدرون.,Covid Vaccine,Against,Neutral,No
@DalalHarthi التحول التقني مثل موج البحر .. اذا لم تستعد للجديد من التقنية .. ستتلاعب بك امواج التقنيات .. والنتيجة تخبط إداري وانتاجية سيئة,Digital Transformation,Against,Negative,No
@DalelkoinRiyadh التواريخ المؤثره في حياتك ( طبعا تاثير حلو زي ولادتك طفولتك تخرجك …)- شعور بالتطور -تمكين المراه- الامن الامان في دولتنا - شعورك بعد ازمة كورنا واربيطها مع شهر رمضان-,Women empowerment,Favor,Positive,No
@Dalyahya فعلاً في هالفتره البسيطه لحظنا تحول رقمي جبار على مستوى جميع القطاعات ادى لتسهيل الاعمال باذن الله خلال الفتره القادمه بعد زوال الغمة نستمر في رفع مستوى التحول الرقمي بجهود الجميع🙏🏻,Digital Transformation,Favor,Positive,No
